"","qseqid","kingdom","phylum","class","order","family","genus","species","assignment","species_hypothesis","Confidence.x","taxon","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","assignment.1","Kingdom","Phylum","Class","Order","Family","Genus","Species","n_100_hits","Match_Type","matched_sseqids","Species_Agreement","Genus_Agreement","Family_Agreement","Order_Agreement","Class_Agreement","Phylum_Agreement"
"1","ASV1","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_halotolerans","Cladosporium_halotolerans","sSH2100630.09FU","0.9957844","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium_halotolerans","Fungi",NA,NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV6713;ASV7012;ASV7255;ASV7270;ASV7406;ASV7706;ASV7920;ASV7934;ASV7950;ASV8081",NA,NA,NA,NA,NA,NA
"2","ASV2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"Didymellaceae",NA,"0.9670901","Didymellaceae","F971F4FB-F68A-481E-B5F1-2BF2B753AA5D","508292","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))","Didymellaceae","Fungi","Ascomycota",NA,NA,NA,NA,NA,7,"Multiple 100% matches","ASV8036;ASV8047;ASV8049;ASV8050;ASV8051;ASV8182;ASV8299",NA,NA,NA,NA,NA,"Match"
"3","ASV3","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"Cladosporium",NA,"0.9630689","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV7515;ASV7546;ASV7578;ASV7607;ASV7750;ASV7823;ASV7847;ASV7898;ASV8048;ASV8192",NA,NA,NA,NA,NA,"Match"
"4","ASV4","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"Cladosporium",NA,"0.8677805","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium","Fungi","Ascomycota",NA,NA,NA,NA,NA,7,"Multiple 100% matches","ASV5595;ASV5772;ASV5784;ASV5824;ASV6036;ASV6651;ASV6936",NA,NA,NA,NA,NA,"Match"
"5","ASV5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"Didymellaceae",NA,"0.9948787","Didymellaceae","F971F4FB-F68A-481E-B5F1-2BF2B753AA5D","508292","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))","Didymellaceae","Fungi","Ascomycota",NA,NA,NA,NA,NA,9,"Multiple 100% matches","ASV8164;ASV8184;ASV8185;ASV8186;ASV8187;ASV8188;ASV8246;ASV8288;ASV8289",NA,NA,NA,NA,NA,"Match"
"6","ASV6","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Penicillium","sSH1225252.09FU","0.9495887","Eurotiales","1CB1CE25-36B9-11D5-9548-00D0592D548C","90472","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Penicillium","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae",NA,NA,8,"Multiple 100% matches","ASV3820;ASV3846;ASV3965;ASV3995;ASV5249;ASV5367;ASV5987;ASV6908",NA,NA,"Match","Match","Match","Match"
"7","ASV7","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Toxicocladosporium",NA,"Toxicocladosporium",NA,"0.9998907","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Toxicocladosporium","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV6122;ASV6160;ASV6234;ASV6449;ASV6615;ASV6768;ASV6833;ASV6885;ASV6899;ASV7211",NA,NA,NA,NA,NA,"Match"
"8","ASV8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,"Nectriaceae",NA,"0.9989626","Nectriaceae","1CB1CD7A-36B9-11D5-9548-00D0592D548C","81059","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))","Nectriaceae","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV6545;ASV6577;ASV6820;ASV6867;ASV6913;ASV6983;ASV7365;ASV7646;ASV7760;ASV8276",NA,NA,NA,NA,NA,"Match"
"9","ASV9","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,"Aspergillus",NA,"0.9531604","Eurotiales","1CB1CE25-36B9-11D5-9548-00D0592D548C","90472","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))","Aspergillus","Fungi","Ascomycota",NA,NA,NA,NA,NA,9,"Multiple 100% matches","ASV5597;ASV5648;ASV5686;ASV5725;ASV5801;ASV5921;ASV6145;ASV6146;ASV6245",NA,NA,NA,NA,NA,"Match"
"10","ASV10","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_halotolerans","Cladosporium_halotolerans","sSH2100630.09FU","0.9718553","Cladosporiaceae","6EDCD6E4-DE4D-443D-AF6B-A572F626BD45","816548","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph","Possible","Microfungus","NULL","NULL","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","Cladosporium_halotolerans","Fungi","Ascomycota",NA,NA,NA,NA,NA,10,"Multiple 100% matches","ASV3650;ASV3900;ASV4629;ASV4727;ASV5062;ASV5389;ASV5604;ASV6669;ASV6714;ASV7995",NA,NA,NA,NA,NA,"Match"
